"StationCode","isSWMP","DatetimeStamp","Historical","ProvisionalPlus","Frequency","F_Record","ATemp","F_ATemp","RH","F_RH","BP","F_BP","WSpd","F_WSpd","MaxWSpd","F_MaxWSpd","MaxWSpdT","Wdir","F_Wdir","SDWDir","F_SDWDir","TotPAR","F_TotPAR","TotPrcp","F_TotPrcp","TotSoRad","F_TotSoRad",
"soscmmet  ","P",08/01/2001 11:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 11:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 11:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 11:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 12:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 12:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 12:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 12:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 13:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 13:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 13:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 13:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 14:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 14:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 14:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 14:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 15:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 15:15,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 15:30,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 15:45,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
"soscmmet  ","P",08/01/2001 16:00,1,1,15,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<4> ,"","",<4> ,"",<4> ,"",<4> ,"",<4> ,"",<-1> ,
