"station","param","trend_in_log","ciLow_trend","ciHigh_trend","p_trend","trend_multiplicative","trend_pctPerYear","ciLow_pctPerYear","ciHigh_pctPerYear"
"noclcnut","no23f_mdl",0.0545990121040382,0.0240712865265233,0.085126737681553,0.000553201042506533,1.0561,5.61,2.44,8.89
"nocrcnut","no23f_mdl",0.113238442453065,0.0772342034370381,0.149242681469091,3.90127202753895e-09,1.1199,11.99,8.03,16.1
"noczbnut","no23f_mdl",0.0336119576115596,-0.0038054624879837,0.071029377711103,0.079759281355281,1.0342,3.42,-0.380000000000003,7.36000000000001
"owcbrnut","no23f_mdl",-0.0664447496254156,-0.095667915199683,-0.0372215840511481,1.41549020368656e-05,0.9357,-6.43,-9.11999999999999,-3.65
"owcdrnut","no23f_mdl",-0.0185994428796544,-0.0841812359282574,0.0469823501689486,0.579245610366184,0.9816,-1.84,-8.07,4.81
"owcolnut","no23f_mdl",-0.0838277396574166,-0.123076710296308,-0.0445787690185254,4.36915493945605e-05,0.9196,-8.04,-11.58,-4.36
"owcwmnut","no23f_mdl",-0.078976867931171,-0.118570075072057,-0.0393836607902851,0.000128362494499074,0.9241,-7.59,-11.18,-3.86
"pdbbpnut","no23f_mdl",-0.0190504008939116,-0.0420187488522948,0.00391794706447157,0.105608545532738,0.9811,-1.89,-4.11,0.390000000000001
"pdbbynut","no23f_mdl",-0.0335187468294373,-0.0539348414914324,-0.0131026521674422,0.00151511912291346,0.967,-3.3,-5.25,-1.3
"pdbgsnut","no23f_mdl",-0.0060026974357297,-0.0294526635546119,0.0174472686831525,0.616466202414653,0.994,-0.600000000000001,-2.9,1.76000000000001
"rkbfbnut","no23f_mdl",-0.0533911402003195,-0.0731501383608183,-0.0336321420398207,2.90836414341583e-07,0.948,-5.2,-7.05,-3.31
"rkbfunut","no23f_mdl",-0.0125024573064682,-0.02974908429151,0.00474416967857357,0.156855729525764,0.9876,-1.24,-2.93,0.479999999999992
"rkblhnut","no23f_mdl",-0.0428989026889668,-0.0642172499285315,-0.0215805554494021,0.000107520136884867,0.958,-4.2,-6.22,-2.13
