"","station","estimate","std.error","statistic","p.value","param","test"
"144","jacbawq",-0.00315118903104534,0.00266354912017293,-1.18307900056326,0.253059539700023,"do_mgl","trend in normalized seasonal amplitude"
"145","jacnewq",-0.00816793932963551,0.00523344450692001,-1.56071958321815,0.13509202657286,"do_mgl","trend in normalized seasonal amplitude"
"146","job09wq",-0.0201625240130196,0.00984042410069614,-2.04894868419271,0.0545346821836197,"do_mgl","trend in normalized seasonal amplitude"
"147","job10wq",0.00158473775529238,0.00938249290171701,0.168903698824261,0.86775594180472,"do_mgl","trend in normalized seasonal amplitude"
"148","job19wq",-0.0142640631234459,0.00297614991823214,-4.79279052310606,0.000145672426670382,"do_mgl","trend in normalized seasonal amplitude"
"149","job20wq",-0.00459729980702165,0.00301528567136812,-1.52466476084693,0.143815772730698,"do_mgl","trend in normalized seasonal amplitude"
"150","kachdwq",-0.0101438911054774,0.00318189736834369,-3.1880007213299,0.00509509520618165,"do_mgl","trend in normalized seasonal amplitude"
"151","kacsdwq",0.00428801753099867,0.00363781346334094,1.17873485658624,0.254739507998573,"do_mgl","trend in normalized seasonal amplitude"
"152","kacsswq",-0.00118425692024262,0.00324053683985746,-0.365450843106203,0.719282274009808,"do_mgl","trend in normalized seasonal amplitude"
"153","lksbawq",-0.0178354574535631,0.0129788279357469,-1.37419630970219,0.202629955245934,"do_mgl","trend in normalized seasonal amplitude"
"154","lksblwq",-0.0280962577177201,0.0211507028454734,-1.32838411673554,0.241451940633167,"do_mgl","trend in normalized seasonal amplitude"
"155","lksolwq",-0.00331794168875423,0.0151437890466748,-0.219095873465219,0.832826708085124,"do_mgl","trend in normalized seasonal amplitude"
"156","marabwq",0.00287480425466651,0.00431072194047281,0.666896240204071,0.516501014281835,"do_mgl","trend in normalized seasonal amplitude"
"157","marcewq",-0.00131473465944761,0.00412113342656705,-0.319022589992384,0.754419528576366,"do_mgl","trend in normalized seasonal amplitude"
"158","marcwwq",0.00151390219799914,0.00564439696646212,0.268213275394066,0.792446685720032,"do_mgl","trend in normalized seasonal amplitude"
"159","marmbwq",-0.0033865963722706,0.00372553278340965,-0.909023371731316,0.379882142099801,"do_mgl","trend in normalized seasonal amplitude"
"160","marscwq",0.00814391097002811,0.00885010636840951,0.920204868847433,0.384373753506479,"do_mgl","trend in normalized seasonal amplitude"
"161","narncwq",-0.0184537998658026,0.00675414765994957,-2.73221741585974,0.0132350946919751,"do_mgl","trend in normalized seasonal amplitude"
"162","narpcwq",-0.00658549336653912,0.00344419496525208,-1.91205591814026,0.0710681101279087,"do_mgl","trend in normalized seasonal amplitude"
"163","nartbwq",-0.00350151974566163,0.00292318137667471,-1.19784553007956,0.245707097998908,"do_mgl","trend in normalized seasonal amplitude"
"164","nartswq",0.000597003328223736,0.00246672696626495,0.242022459878364,0.811355822339148,"do_mgl","trend in normalized seasonal amplitude"
"165","niwcbwq",-0.00314164488150773,0.00290760078012886,-1.08049389138233,0.293447181921194,"do_mgl","trend in normalized seasonal amplitude"
"166","niwdcwq",-0.00218221959588316,0.00265804569471119,-0.820986486509695,0.421835962805858,"do_mgl","trend in normalized seasonal amplitude"
"167","niwolwq",-0.00394780561521788,0.00328804926802008,-1.20065281673686,0.244641422471572,"do_mgl","trend in normalized seasonal amplitude"
"168","niwtawq",-0.00512421245443724,0.00393687791522899,-1.30159292840027,0.208617033293547,"do_mgl","trend in normalized seasonal amplitude"
"169","nocecwq",-0.00201888988910411,0.00351515137596308,-0.574339387745704,0.57284655994523,"do_mgl","trend in normalized seasonal amplitude"
"170","noclcwq",0.00185330945168518,0.00172833554553382,1.07230882132483,0.297013127845,"do_mgl","trend in normalized seasonal amplitude"
"171","nocrcwq",-0.00411860493619737,0.00216837345746024,-1.89939833566373,0.0728016401724131,"do_mgl","trend in normalized seasonal amplitude"
"172","noczbwq",-0.00708736960974164,0.00884697883757732,-0.801106201321315,0.432974719393616,"do_mgl","trend in normalized seasonal amplitude"
"173","owcbrwq",-0.00915299885304864,0.00762127049966122,-1.20098070964093,0.244517179798579,"do_mgl","trend in normalized seasonal amplitude"
"174","owcdrwq",0.0386783858733199,0.0176770801830769,2.1880528612609,0.0475283441047669,"do_mgl","trend in normalized seasonal amplitude"
"175","owcolwq",0.0248645189820994,0.0102584961103719,2.42379767117717,0.0255084914895044,"do_mgl","trend in normalized seasonal amplitude"
"176","owcwmwq",0.015267195785259,0.0118144483102244,1.29224788025409,0.211767835772179,"do_mgl","trend in normalized seasonal amplitude"
"177","pdbbpwq",0.000235120967906167,0.00288944761643343,0.0813722894884615,0.935996958764495,"do_mgl","trend in normalized seasonal amplitude"
"178","pdbbywq",-0.000590000552212491,0.00177603210041573,-0.332201513742001,0.743373986316309,"do_mgl","trend in normalized seasonal amplitude"
"179","pdbgswq",-0.000565606741242422,0.00306281895518342,-0.184668682517198,0.855962498556134,"do_mgl","trend in normalized seasonal amplitude"
"180","rkbfbwq",-0.000231904223165289,0.00750415762376762,-0.0309034317763779,0.975728764930281,"do_mgl","trend in normalized seasonal amplitude"
"181","rkbfuwq",0.00640001313817997,0.00623433574822641,1.02657498675792,0.319891359640858,"do_mgl","trend in normalized seasonal amplitude"
"182","rkblhwq",-0.0027930195295077,0.00226505089924497,-1.23309349491383,0.235351216441968,"do_mgl","trend in normalized seasonal amplitude"
"183","rkbmbwq",-0.0056399001543879,0.00616845613987342,-0.91431308361441,0.374125879040589,"do_mgl","trend in normalized seasonal amplitude"
"184","sapcawq",-0.0198761309248058,0.00620535629994901,-3.20306038268409,0.00554194737319245,"do_mgl","trend in normalized seasonal amplitude"
"185","sapdcwq",-0.0155010367618623,0.00645545832752998,-2.40122946743479,0.0280566221990918,"do_mgl","trend in normalized seasonal amplitude"
"186","saphdwq",-0.0156248514857848,0.00421663693673809,-3.70552450215737,0.00150072466596639,"do_mgl","trend in normalized seasonal amplitude"
"187","sapldwq",-0.011381900012059,0.0048344975131429,-2.35430879447482,0.0294682340287581,"do_mgl","trend in normalized seasonal amplitude"
"188","sfbccwq",-0.00261119252092868,0.00287707588315369,-0.907585558037641,0.377564278743096,"do_mgl","trend in normalized seasonal amplitude"
"189","sfbfmwq",-0.00643227889756369,0.00730987706380098,-0.879943512240005,0.394865711970036,"do_mgl","trend in normalized seasonal amplitude"
"190","sfbgcwq",-0.00798323569386883,0.00478638212811354,-1.66790604681939,0.117537284621996,"do_mgl","trend in normalized seasonal amplitude"
"191","sfbsmwq",0.000921635072898335,0.00352952582832566,0.261121498389924,0.798089808849179,"do_mgl","trend in normalized seasonal amplitude"
"192","soschwq",-0.00267242364275181,0.00413537612322393,-0.646234722820905,0.525856896309403,"do_mgl","trend in normalized seasonal amplitude"
"193","sosvawq",0.00408659264793804,0.00322975543981636,1.26529476429039,0.221063579019078,"do_mgl","trend in normalized seasonal amplitude"
"194","soswiwq",0.00302468140151307,0.00221767992735173,1.36389447557702,0.188541814535045,"do_mgl","trend in normalized seasonal amplitude"
"195","tjrbrwq",0.038725109623362,0.0123115612652712,3.14542638329705,0.00625493625442535,"do_mgl","trend in normalized seasonal amplitude"
"196","tjroswq",0.0249426982291057,0.00996398867582587,2.50328448180802,0.0215903717125877,"do_mgl","trend in normalized seasonal amplitude"
"197","tjrprwq",0.00145784518720511,0.0052286521896343,0.278818543351431,0.78668469846883,"do_mgl","trend in normalized seasonal amplitude"
"198","tjrsbwq",-0.00356362398368286,0.00562521098408695,-0.633509390805772,0.537387783964146,"do_mgl","trend in normalized seasonal amplitude"
"199","welhtwq",0.00988961224753896,0.00707458277745567,1.39790748919553,0.178248962230737,"do_mgl","trend in normalized seasonal amplitude"
"200","welinwq",-0.0226861864619494,0.0109468980607192,-2.07238492001257,0.0537510793915361,"do_mgl","trend in normalized seasonal amplitude"
"201","wellmwq",-0.00589364485012588,0.0041271803235746,-1.42800759551532,0.170410933053846,"do_mgl","trend in normalized seasonal amplitude"
"202","welsmwq",-0.00217481337003667,0.00500137091761893,-0.434843447098713,0.669145796858187,"do_mgl","trend in normalized seasonal amplitude"
"203","wkbfrwq",-0.0212420452335853,0.00875814249498571,-2.42540530092391,0.0274914391795296,"do_mgl","trend in normalized seasonal amplitude"
"204","wkbmbwq",-0.0118430163025065,0.00679264234076398,-1.74350653374376,0.103153116854515,"do_mgl","trend in normalized seasonal amplitude"
"205","wkbmrwq",-0.00121208839919453,0.0107001393409478,-0.113277814481916,0.911312492248844,"do_mgl","trend in normalized seasonal amplitude"
"206","wkbwbwq",-0.011366901950761,0.00509242566344355,-2.23211936746753,0.0424601728860926,"do_mgl","trend in normalized seasonal amplitude"
"207","wqbcrwq",0.00898944420232483,0.00462583702241817,1.94331191495925,0.0677842004077447,"do_mgl","trend in normalized seasonal amplitude"
"208","wqbmhwq",-0.00518993535991429,0.00201196381255065,-2.57953713060813,0.0183691264701226,"do_mgl","trend in normalized seasonal amplitude"
"209","wqbmpwq",-0.00327718223180717,0.00298289738280916,-1.09865738281646,0.285645111304778,"do_mgl","trend in normalized seasonal amplitude"
