"station","year","month","atemp_nValid","atemp_min","atemp_median","atemp_max","atemp_mean","atemp_sd","atemp_iqr","rh_nValid","rh_min","rh_median","rh_max","rh_mean","rh_sd","rh_iqr","bp_nValid","bp_min","bp_median","bp_max","bp_mean","bp_sd","bp_iqr","wspd_nValid","wspd_min","wspd_median","wspd_max","wspd_mean","wspd_sd","wspd_iqr","maxwspd_nValid","maxwspd_min","maxwspd_median","maxwspd_max","maxwspd_mean","maxwspd_sd","maxwspd_iqr","wdir_nValid","wdir_min","wdir_median","wdir_max","wdir_mean","wdir_sd","wdir_iqr","totprcp_nValid","totprcp_total","dailyPAR_nValid","dailyPAR_min","dailyPAR_median","dailyPAR_max","dailyPAR_mean","dailyPAR_sd","dailyPAR_iqr"
"gtmpcmet",2005,6,2603,20.7,25.6,32.7,25.4893968497887,1.9725739975106,2.9,2603,45,88,100,86.5528236650019,9.5410736086518,15,2868,1007,1015,1020,1014.68340306834,2.70542673039409,4,2868,0,2.2,8.7,2.51830543933054,1.69212140207389,2.7,2868,0,4,12.6,4.11976987447699,2.38924962995725,3.7,2868,0,152,360,152.386331938633,72.5812822546751,102,2868,205.8,30,21470.3,38032.4,57922.8,38316.9,11402.4318360542,20263.65
"gtmpcmet",2005,7,2976,21,27.5,34,27.2148857526882,2.516305853152,4.3,2976,39,84,99,83.2043010752688,11.0753839388841,18,2976,1010,1017,1022,1017.12331989247,2.26509810939779,3,2976,0,1.8,8,2.16189516129032,1.59877672894158,2.5,2976,0,3.3,11.9,3.55907258064516,2.25683909542294,3.5,2976,0,170,359,170.931787634409,72.6883277601569,113.25,2976,103.4,31,14048.6,46178.3,57533.1,44851.3774193548,11108.395666093,17075.15
"gtmpcmet",2005,8,2976,22.6,27.9,33.5,27.5113911290323,2.58255321783173,4.6,2976,54,83,99,83.0510752688172,10.3527081920933,19,2976,1009,1016,1020,1015.36290322581,2.37126102083911,3,2976,0,1.6,6.4,2.07479838709677,1.44551812455403,2.3,2976,0,3.1,12.8,3.44119623655914,2.05237549117416,3.2,2976,0,174,360,165.100134408602,79.2789568229799,123,2976,69,31,26072.2,43246.2,52768.2,43173.7774193548,6730.20927439406,8082.4
"gtmpcmet",2005,9,2880,20.2,26.9,32.6,26.6015277777778,2.38424938127591,2.8,2880,35,79,98,77.7618055555556,11.3863076673838,16,2880,1008,1016,1021,1015.63368055556,2.21370678669227,3,2880,0,3.1,11.7,3.47013888888889,2.39942188999728,2.9,2880,0.2,5,16,5.35135416666667,3.21570557107082,3.8,2880,0,115,360,145.420833333333,101.87955407943,180,2880,159.2,30,13758.9,39795.55,46652.6,35515.9,10388.8672679145,9180.74999999999
"gtmpcmet",2005,10,2976,6.9,24.1,30.1,22.5225470430108,4.87343052411917,6.4,2976,40,83,98,80.7284946236559,13.4930872267821,22,2976,999,1013,1028,1013.85584677419,5.93882421280775,8,2976,0,2.7,9.9,3.18239247311828,2.1886212509319,3.9,2976,0,4.4,18.5,4.93094758064516,3.07776518986975,5.325,2976,0,127,360,151.596102150538,115.038049262316,226,2976,163.6,31,6805.2,30957.7,41909.8,28796.3161290323,9242.72855532379,14784.65
"gtmpcmet",2005,11,2880,3.8,19.8,27.5,19.089375,3.96180596715205,4.7,2880,30,85,99,81.4902777777778,14.9619841035411,25,2880,1004,1020,1026,1018.90208333333,4.39743157771926,6,2880,0,2.1,9.2,2.39211805555556,1.75328908198932,2.6,2880,0,3.7,14.6,3.93819444444444,2.59878258637861,3.8,2880,0,203,360,175.26875,109.072368256217,205,2880,66.5,30,8886.8,29146.9,34167.7,25608.9133333333,7634.22157736006,11824.8
"gtmpcmet",2005,12,2976,3.2,13.6,24.7,13.3206317204301,4.8266832989147,7.425,2976,26,83,99,79.1058467741936,15.1447875856291,23,2976,1005,1020,1028,1018.95463709677,4.60028775161606,6,2976,0,1.9,8.6,2.58760080645161,1.873867386298,2.5,2976,0,3.7,12.2,4.3872311827957,2.67719499419761,4,2976,0,237,360,207.708669354839,104.675775397506,134.25,2976,81.9,31,3200.3,23939.2,29091.5,20555.764516129,8478.78398527951,11425
"gtmpcmet",2006,1,2976,0,15.55,27.2,14.8506720430108,5.54146474147219,8.6,2976,22,80,99,76.5833333333333,18.3532776669577,30,2976,1006,1019,1034,1020.23655913978,6.17698254815398,9,2976,0,1.7,6.3,1.94442204301075,1.31261076759182,1.8,2976,0,3.1,12,3.55947580645161,2.28386321554371,3.4,2976,0,215,359,198.431787634409,87.5292952695446,129,2976,16.9,31,11577.9,27787.2,33805.2,25747.5290322581,5840.88289132123,7111.85000000001
"gtmpcmet",2006,2,2688,-2.3,14,26.5,13.248400297619,5.73745368717991,7.3,2688,20,81,100,76.9148065476191,19.2304448129402,28,2688,1005,1021,1031,1020.09523809524,5.19538668593419,7,2688,0,2,10.5,2.32671130952381,1.76620069026543,2.1,2688,0,3.8,16.7,4.05453869047619,2.61118123580377,3.6,2688,0,227,360,203.082961309524,93.4181974791638,122,2688,141.7,28,2095.6,33453.95,40844.3,27914.2642857143,10800.4466658393,14591.85
"gtmpcmet",2006,3,2976,3.3,16.7,28.4,16.7200268817204,4.77721364581536,6,2976,24,75,98,72.9398521505376,17.2119777869796,28,2976,1008,1020,1028,1019.60954301075,4.00295222896716,6,2976,0,2.5,8.4,2.61468413978495,1.63947606952701,2.3,2976,0,4.4,12.7,4.3474126344086,2.39331281792948,3.6,2976,0,181,360,171.559811827957,102.402250752402,179,2976,12,31,19439.7,41897.8,48442.6,40175.3161290323,6662.04737549936,8807.75
"gtmpcmet",2006,4,2880,9.8,21,30.9,21.2743055555556,3.72082834894746,4.3,2880,25,76,98,74.3934027777778,17.1377079338022,25,2880,1007,1016,1027,1016.69548611111,4.05835949688907,5,2880,0,2.6,8.6,2.89326388888889,1.7960387619045,2.7,2880,0,4.6,12,4.7615625,2.46456618444495,3.7,2880,0,190,359,162.110416666667,98.217137375092,188.25,2880,17,30,27178.3,46376.05,54753.8,45427.65,6321.4651090823,7456.925
"gtmpcmet",2006,5,2976,13.3,23.6,33,23.450436827957,3.91620032929895,5.6,2976,20,73,97,70.1875,17.9505331022636,28,2976,1007,1015,1022,1014.69052419355,2.8250959845229,4,2976,0,2.1,7.2,2.44986559139785,1.38828470988835,2.1,2976,0.3,4.1,10.4,4.19747983870968,1.94158828674455,3,2976,0,216,360,182.53998655914,95.3191247515145,155.25,2976,4.4,31,17544,50045.5,57303.1,47180.5774193548,10255.175318986,10651.35
"gtmpcmet",2006,6,2867,16.5,26.6,34.8,26.5599581444018,3.17093851720502,4.3,2867,28,80,97,78.6421346355075,13.1342420707028,20,2867,1008,1015,1022,1015.35333100802,3.5185222033929,7,2867,0,2.4,8.3,2.57746773630973,1.55459434529553,2.7,2867,0,4.2,12.9,4.24527380537147,2.23816133821419,3.6,2867,0,147,360,155.80676665504,79.6760033446494,127,2867,132.4,30,12048.5,48690.75,57250.8,45256.36,11558.3545298777,19230.775
"gtmpcmet",2006,7,2976,20.9,29.5,39,29.6630376344086,2.82552198730926,4.6,2976,33,80,97,79.4506048387097,10.9664842946729,20,2976,1012,1018,1024,1018.46169354839,2.2989682058702,3,2976,0,1.9,7.3,2.24640456989247,1.52893894431002,2.6,2976,0,3.4,12.6,3.67795698924731,2.13870250295188,3.6,2976,0,171,360,167.63810483871,80.7540081247084,124,2976,111,31,17977,47370,55288,44417.9258064516,9136.23208676924,13249.45
"gtmpcmet",2006,8,2976,21.1,29.4,39.4,29.882560483871,2.89876037771888,4.3,2976,32,82,97,79.8447580645161,12.6146010935015,20,2976,1004,1016,1023,1015.84274193548,2.96944683900602,4,2976,0,1.5,8.4,2.03380376344086,1.45912133585208,2.1,2976,0,2.9,13.4,3.46774193548387,2.06718606495928,3.2,2976,0,196.5,360,184.503024193548,76.136043591116,112,2976,113.9,31,15057.3,45436.4,51345.2,40457.064516129,11167.7651055929,12201.8
"gtmpcmet",2006,9,2870,18.4,28.2,37,28.0501045296167,2.9517435796256,4,2870,36,79,99,78.6324041811847,12.7616592364029,22,2870,1010,1015,1020,1014.94668989547,2.01032916136977,2,2870,0,1.8,7.6,2.11386759581882,1.39934606916655,2.3,2870,0,3.2,11,3.49135888501742,1.97969526512278,3.3,2870,0,165,359,161.652613240418,84.0344512983777,141,2865,55.6,30,21943.8,34656.9,45323.9,35166.3766666667,6371.49095871782,9040.15
"gtmpcmet",2006,10,2969,4.9,24.3,38,23.5066689120916,5.10095149795421,4.5,2969,23,72,100,73.5466487032671,15.6966246688734,24,2969,1004,1016,1022,1015.68474233749,3.86509881159751,6,2969,0,2.2,7,2.40360390703941,1.41343088713495,2.1,2969,0,3.9,10.5,3.9982485685416,2.05148940803812,3.2,2969,0,185,360,173.921859211856,105.224650370523,200,2969,36.4,31,20179.2,32655.9,38889.3,30698.3870967742,6102.34635681183,10295.95
