"","code","cluster","Sal","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"11","cbmip","A",0.2,16.2,8.1,7.2,1.041392685,0.467608106,-1.270295379,-0.461761499,-1.306273051,2.1944167302747,-0.891790058495615,0.393288990456603,0.783102975671057,0.463807779976774,0.232228494902341,0.0200688264175933,0.580791540724234,-0.279670826418767
"12","cbmmb","A",10.6,15.6,7.8,7,0.954242509,0.893761762,-2.085656706,-1.333716077,-1.855425792,1.10784683237938,-0.277483101291511,-1.08673773230218,0.483363626224546,1.55902460922651,-1.06993539059717,0.480951752567675,-0.282684825722672,-0.121541112414403
"13","cbmmc","A",0.1,17.25,6.7,6.6,1.255272505,0.84135947,-1.327902142,-0.680200179,-1.808735338,3.00112341659818,0.513362119407936,-0.257424077894795,1.48232190806106,0.655804744021145,-0.823091638112291,0.28092153889152,-0.0799009994754656,-0.107192377394531
"14","cbmoc","A",0.2,20.4,9.075,7.6,1.414973348,1.437829806,-1.420216403,-0.247951552,-2.401574293,2.60369819956926,0.211787220489689,-1.60624120751461,-1.53947014409337,-0.375150565842854,0.0453140671163033,0.0307689160974162,0.320769702437321,-0.388106236852041
"15","cbmrr","A",0.2,15.7,8.1,7.1,1.301029996,0.924795996,-1.263603498,-0.224389552,-1.779456092,2.96418540704354,-0.362275190927332,-0.271822669666168,0.164196069346493,0.213093311570413,-0.25461325962953,0.0874420406877638,0.0692562538559837,-0.149463609807534
"16","cbvcb","A",16.4,17.85,8,7.8,1.079181246,0.932093083,-1.522516984,-1.869666232,-1.905703603,0.251698878218514,0.15248374372292,-0.356762678638143,-0.881209752724376,0.220393132589386,-0.315003387745347,-0.558006162932834,0.27177781022494,0.24719393302437
"17","cbvgi","B",19.6,17,9.05,8.1,0.602059991,0.671404281,-1.490797478,-2.821846273,-2.22184875,-1.2368718451954,-0.634743308238275,-0.700119307592197,-0.818686797441212,-0.281454616414663,-0.590598172702164,-1.29417812840561,0.895445922445542,0.438664976947903
"18","cbvsh","A",0.4,18.1,7.8,7.1,1.491361694,0.768823025,-1.514278574,-0.753747688,-1.721246399,2.48235962455917,0.155080615454869,-0.47671446080642,0.391163928346462,0.895832130059295,0.129225158045152,-0.23419204743553,-0.0319139606366147,-0.233738201403628
"19","cbvsp","A",0.6,18.05,8.1,7.1,1.469822016,0.811575006,-1.384049948,-0.732710911,-1.613501034,2.62116939688139,0.0645007716999717,-0.262449164233385,0.26628500358635,0.758455483552743,0.0100001744732414,-0.344875925943164,0.148499104039205,-0.366363933301877
"20","cbvtc","A",11.1,17.6,7.6,7.5,1.602059991,1.031812271,-1.339846286,-1.378823718,-1.516412703,1.75401893468277,0.655294039991474,0.232039653685448,-0.783936855500173,0.673267296976503,-0.0999227853975633,-0.671505922505821,-0.0507763335358402,0.105181175811624
"21","delbl","A",1.2,16.3,8.2,7,1.591064607,1.441433276,-1.353596274,-0.41453927,-1.816730156,3.47609030637255,0.402322270886919,-0.621714304824093,-0.646299852051016,0.611052242015743,-0.851998286255736,0.0355819244207817,-0.121059958610209,-0.21871371428189
"22","delds","A",0.1,16.4,8.4,6.8,1,1.441695136,-1.167491087,-0.653647026,-1.795880017,3.2009472982414,0.0395823000739306,-0.535181465771234,0.0222791889829747,0.17174492797617,-1.73515557236942,0.312565296377547,0.708211529473703,-0.375337809682461
"23","delll","A",1.8,16.1,8,7,1.51851394,1.235275877,-0.97109001,-0.051587034,-1.619788758,3.73890302989117,0.172794407463322,0.198691377096684,-0.271995201064987,-0.0198318685930797,-0.604784914472735,-8.46467842611549e-06,0.027413479283055,-0.309927195563399
"24","delsl","A",9.6,15.4,6.8,7.1,1.568201724,1.046690221,-0.839856736,-0.219682688,-1.366531544,3.24438062652624,0.506639607943242,1.15899146498738,-0.0436448362459364,-0.109756143775785,-0.392813854280685,-0.00139536634987377,-0.33239072440497,0.0318455973899379
"25","elkap","D",33.15,16.8,6.15,7.9,0.698970004,0.60368555,-1.238824187,-1.702786804,-1.221125528,-0.780675027746516,0.161938735082766,1.66601512220428,-0.280623233788452,-0.251193135975294,-0.320148964424139,0.21056556935923,0.0224005828083275,0.377119485830962
"26","elknm","D",32.9,17.2,6.3,8.1,0.77815125,0.767403257,-1.150887834,-1.257667718,-1.346787486,-0.519575304583476,0.176662878505907,1.57632759593179,-0.925952940386792,-0.720839101792331,-0.0358077306556711,0.383121081960185,-0.0274465538261434,0.389341435536759
"27","elksm","D",32.7,16.2,6.9,8,0.77815125,0.547159121,-1.177777419,-1.092409512,-1.353432913,-0.4196527886107,-0.380135736377955,1.53507102147346,-0.580321429027634,-0.636389635559697,0.0756389045154702,0.188322265688308,-0.198632941280403,0.130472927102436
