"code","Sal","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","cluster","pca_id","Map.Number","Map.Code"
"sfbgc",21.8,16.9,7.1,7.7,1.591064607,0.716003344,-1.140561465,-0.849550591,-0.917573699,"D",152,25,"sfb"
"sfbsm",4,17.2,7.5,7.5,1.544068044,0.571126277,-1.274496731,-0.31553616,-1.138839112,"A",153,25,"sfb"
"sosch",30.55,12,8.8,8,0.477121255,0.331427297,-1.503993401,-0.912366447,-1.49643628,"C",155,26,"sos"
"sosva",28.6,12.6,8.6,7.9,0.602059991,0.419129308,-1.468776625,-0.918172809,-1.582251598,"C",159,26,"sos"
"soswi",14.775,12.45,8.55,7.3,0.84509804,0.030734617,-1.597452049,-0.67853966,-2.083984954,"C",160,26,"sos"
"tjrbr",33.3,17.3,6.8,8,0.477121255,0.030734617,-0.984011895,-1.681936665,-1.005243055,"D",161,23,"tjr"
"tjrmm",35.6,18.05,5.4,7.7,1,0.122215878,-0.777283529,-1.615288257,-1.173925197,"D",163,23,"tjr"
"tjros",33.4,18.8,5.2,7.7,0.698970004,0.239299479,-0.943476276,-1.602059991,-0.791827473,"D",164,23,"tjr"
"tjrpe",47.9,21.3,6.95,8.3,0.653212514,1.272769587,-1.965237894,-2,-1.657577319,"B",165,23,"tjr"
"tjrpr",35.5,21.1,6.25,8,0.954242509,0.368286885,-1.580044252,-2.01211039,-1.522878745,"D",166,23,"tjr"
"tjrsb",35.4,21,6.5,8,0.84509804,0.327358934,-1.654626269,-1.979845968,-1.394335884,"D",169,23,"tjr"
"tjrtl",31.2,20.15,4.15,7.6,0.903089987,0.389166084,-0.911863911,-1.028028724,-0.702239489,"D",170,23,"tjr"
"welht",0.1,12.4,10.5,6.8,0.301029996,-0.698970004,-2.367844709,-0.95369998,-3.312442866,"C",172,3,"wel"
"welin",31.1,9.3,9.2,7.9,0.477121255,-0.045757491,-1.568636236,-1.468521083,-1.903089987,"C",173,3,"wel"
"wellm",20.7,12.7,8.95,7.8,0.477121255,-0.15490196,-1.744727495,-1.180456064,-2.522878745,"C",174,3,"wel"
"welsm",3.1,13.5,9.2,7.2,0.602059991,-0.397940009,-2.136097587,-0.976541762,-3.075878341,"C",176,3,"wel"
"wkbfr",6.8,23.95,7.05,7.2,1.079181246,1.260071388,-1.30980392,-0.30980392,-4.061645897,"A",178,20,"wkb"
"wkbmb",9.4,24.3,7.8,7.9,1.176091259,1.48403871,-1.654299609,-0.845677486,-3.826779698,"A",179,20,"wkb"
"wkbmr",9,24.9,7.3,7.7,1.230448921,1.455047991,-1.46428403,-0.467882884,-4.312994743,"A",180,20,"wkb"
"wkbwb",10.8,24.1,7.75,7.9,1.176091259,1.475719602,-1.568636236,-1.152838799,-3.709003923,"A",181,20,"wkb"
"wqbcr",27.7,16.6,7.8,7.8,0.301029996,1.14690287,-1.657577319,-1.09017663,-2.042153366,"C",184,5,"wqb"
"wqbmh",30.9,12.9,8.8,8,0.301029996,0.380211242,-1.8569852,-2.123493496,-1.823908741,"C",186,5,"wqb"
"wqbmp",29.9,16.6,8.4,8,0,0.457881897,-1.855425792,-2.327902142,-2.062983893,"C",187,5,"wqb"
"wqbsl",29.2,17.8,7.8,7.9,0,0.414973348,-1.809668302,-2.52651303,-2.22184875,"B",190,5,"wqb"
