station,lon,lat
RKBUHMET,-81.701717,26.050067
RKBUHWQ,-81.7012,26.049
SAPBCWQ,-81.2786,31.4392
SAPCANUT,-81.2399,31.4437
SAPCAWQ,-81.2399,31.4437
SAPDCNUT,-81.2789,31.3896
SAPDCWQ,-81.2789,31.3896
SAPFDNUT,-81.2675,31.4828
SAPFDWQ,-81.2675,31.4828
SAPHDNUT,-81.2731,31.4786
SAPHDWQ,-81.2731,31.4786
SAPLDNUT,-81.296047,31.417942
SAPLDWQ,-81.296047,31.417942
SAPMLMET,-81.29535,31.4178
SAPMLNUT,-81.2961,31.4177
SAPMLWQ,-81.2961,31.4177
SFBCCNUT,-122.4604,38.0012
SFBCCWQ,-122.4604,38.0012
SFBFMNUT,-122.0328,38.1949
SFBFMWQ,-122.0328,38.1949
SFBGCNUT,-122.5085,38.0159
SFBGCWQ,-122.5085,38.0159
SFBRBWQ,-122.487563,37.876689
SFBRRMET,-122.0265,38.2004
SFBSMNUT,-122.0136,38.1841
SFBSMWQ,-122.0136,38.1841
SOSBHNUT,-124.3286,43.3501
SOSCHNUT,-124.320533,43.3377
SOSCHWQ,-124.320533,43.3377
SOSCMMET,-124.328733,43.34505
SOSCSNUT,-124.3287,43.3451
SOSECWQ,-124.310729,43.296501
SOSSEWQ,-124.302617,43.289683
SOSTCMET,-124.318367,43.279129
SOSVANUT,-124.321633,43.317217
SOSVAWQ,-124.321633,43.317217
SOSWINUT,-124.3197528,43.27615
SOSWIWQ,-124.320317,43.282417
TJRBRNUT,-117.1289722,32.5593611
TJRBRWQ,-117.1289722,32.5593611
TJRHPNUT,-117.11926,32.55874
TJRMMNUT,-117.123,32.5478
TJRMMWQ,-117.123,32.5478
TJROSNUT,-117.1312778,32.5683333
TJROSWQ,-117.1312778,32.5683333
TJRPENUT,-117.11624,32.60098
TJRPEWQ,-117.11624,32.60098
TJRPRNUT,-117.1181944,32.5960833
TJRPRWQ,-117.1181944,32.5960833
TJRRCNUT,-117.1061,32.5578
TJRRCWQ,-117.1061,32.5578
TJRRMNUT,-117.1262,32.5537
TJRSBNUT,-117.1158333,32.601
TJRSBWQ,-117.1158333,32.601
TJRTLMET,-117.127,32.5745
TJRTLNUT,-117.1272,32.5744
TJRTLWQ,-117.1272,32.5744
WELDNWQ,-70.5603,43.3289
WELHTNUT,-70.587094,43.298347
WELHTWQ,-70.587094,43.298347
WELINNUT,-70.563442,43.320089
WELINWQ,-70.563442,43.320089
WELLFMET,-70.549444,43.337375
WELLMNUT,-70.540603,43.340153
WELLMWQ,-70.540603,43.340153
WELMLNUT,-70.5764,43.305
WELMLWQ,-70.5764,43.305
WELSMNUT,-70.549217,43.344711
WELSMWQ,-70.549217,43.344711
WELUPWQ,-70.5572,43.3306
WKBFRNUT,-87.8228,30.4162
WKBFRWQ,-87.8228,30.4162
WKBMBNUT,-87.8335,30.3961
WKBMBWQ,-87.8335,30.3961
WKBMRNUT,-87.8177,30.39
WKBMRWQ,-87.8177,30.39
WKBSHMET,-87.8285,30.4212
WKBWBMET,-87.826,30.4148
WKBWBNUT,-87.832,30.3808
WKBWBWQ,-87.832,30.3808
WKBWSNUT,-87.826,30.41481
WQBCBWQ,-70.5211,41.5655
WQBCHMET,-70.5251,41.5817
WQBCRNUT,-70.5309,41.5798
WQBCRWQ,-70.5309,41.5798
WQBCTWQ,-70.5211,41.5655
WQBMHNUT,-70.5485,41.5526
WQBMHWQ,-70.5485,41.5526
WQBMPNUT,-70.5216,41.5689
WQBMPWQ,-70.5216,41.5689
WQBNBWQ,-70.5237,41.5788
WQBNSWQ,-70.5237,41.5788
WQBSLNUT,-70.5084,41.5542
WQBSLWQ,-70.5084,41.5542
CT,-72.0622365,41.33162251
