name,gridcode,FREQUENCY,SUM_Shape_
Carolina Coastal-Sampit,23,2801,8757921.20362000000
Carolina Coastal-Sampit,24,692,2848679.07715000000
Carolina Coastal-Sampit,31,572,3889002.22778000000
Carolina Coastal-Sampit,41,2278,7026836.18775000000
Carolina Coastal-Sampit,42,10448,377302260.49800000000
Carolina Coastal-Sampit,43,145,297939.99023300000
Carolina Coastal-Sampit,52,4282,48961878.16770000000
Carolina Coastal-Sampit,71,3217,50831053.52780000000
Carolina Coastal-Sampit,81,1598,9061358.97218000000
Carolina Coastal-Sampit,82,1686,70628124.18830000000
Carolina Coastal-Sampit,90,8008,454503781.65900000000
Carolina Coastal-Sampit,95,6032,92218311.36470000000
Coastal Carolina,0,62,17900669.94330000000
Coastal Carolina,11,2631,14539305.73420000000
Coastal Carolina,21,21821,115096034.94900000000
Coastal Carolina,22,23196,102677117.29400000000
Coastal Carolina,23,14201,76784872.90650000000
Coastal Carolina,24,4991,17616834.77780000000
Coastal Carolina,31,1508,13667155.85630000000
Coastal Carolina,41,128,212065.05432100000
Coastal Carolina,42,9987,249571705.29800000000
Coastal Carolina,43,925,2522966.33606000000
Coastal Carolina,52,7191,37178476.96840000000
Coastal Carolina,71,3167,20588768.75610000000
Coastal Carolina,81,1196,2501185.96801000000
Coastal Carolina,82,1604,40610040.02380000000
Coastal Carolina,90,5469,366923648.00700000000
Coastal Carolina,95,4622,88441240.86910000000
Cooper,0,2,24954136.68820000000
Cooper,11,3962,434960904.36400000000
Cooper,21,47316,212660451.72700000000
Cooper,22,42995,231128354.22400000000
Cooper,23,28170,134360260.07100000000
Cooper,24,9425,52138956.61010000000
Cooper,31,2216,13895808.23360000000
Cooper,41,4532,14434979.80960000000
Cooper,42,25073,791608717.63900000000
Cooper,43,2151,5640591.13770000000
Cooper,52,8871,73578567.70020000000
Cooper,71,7786,53517686.73710000000
Cooper,81,7512,48852219.78150000000
Cooper,82,1921,45791084.56420000000
Cooper,90,19370,944512057.78200000000
Cooper,95,10835,195691272.47300000000
Coos,0,42,9846928.83952000000
Coos,11,897,435574196.86400000000
Coos,21,12642,85569318.30250000000
Coos,22,7404,26090654.14180000000
