Map.code,code,cluster,SpCond,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
gtm,gtmfm,D,52.175,24,6.3,8,0.84509804,0.540954809,-1.494850022,-2.045757491,-1.853871964,-1.446106022,1.072776256,0.423951503,-0.250933297,-0.406557755,0.290742328,-0.095740798,-0.059332009,-0.208211251
gtm,gtmpc,D,26.04,24.55,5.3,7.4,0.929418926,0.832508913,-1.501689446,-2.068033885,-1.48148606,0.064654522,1.85592182,0.363819792,0.595640336,0.545614436,-0.275459673,0.409910315,0.619290463,0.013844836
gtm,gtmpi,D,44.0775,24.3,5.8,7.6,1.021189299,0.67669361,-1.411728293,-1.987162775,-1.643018599,-0.476921521,1.601689107,0.610659737,0.231772525,0.0285394,-0.079979526,-0.014997104,-0.01830138,-0.288987902
gtm,gtmss,D,51.6,24.1,6,7.9,0.954242509,0.630936119,-1.459045191,-1.802030632,-1.782516056,-1.017946744,1.301785299,0.559290637,-0.251266558,-0.354782731,0.259336591,0.08700186,-0.222578924,-0.253785827
hee,heekk,B,51.81,25.8,6.55,8.1,0.301029996,-0.140411423,-1.884389488,-2.095554959,-2.408935393,-2.927451996,0.148836149,-0.562639291,0.972892726,-0.660736466,0.959660787,0.170037702,-0.020661239,-0.398471102
hee,heer9,B,53.02,25.8,6.5,8.1,0.301029996,-0.22366209,-2.698970004,-2.32330639,-2.434742657,-3.763362967,0.001510348,-1.498164663,1.004109841,0.720332915,1.17744247,0.655418128,-0.500948626,-0.393998703
hee,heew2,D,0.26,24.3,2.4,6.9,1.146128036,-0.010995384,-2.033858267,-2.886056648,-1.904830649,-0.141835839,2.650532902,-0.451887797,3.508412302,1.926011101,0.657566906,0.267363595,0.080039402,1.353236986
hud,hudbm,A,1.37,13.4,9.3,7.7,1.176091259,0.298853076,-1.54515514,0.240549248,-1.431798276,1.956803341,-2.108834627,-0.011321406,-0.207705756,0.448130437,1.305472468,0.028087165,0.080504571,-0.192906756
hud,hudsc,C,0.38,15.75,8.9,7.9,0.602059991,-0.010995384,-1.508638306,-0.387216143,-1.462180905,0.612892887,-2.240028608,0.038127474,0.463862057,0.019286008,1.439973235,0.145811295,1.003756134,-0.024930543
hud,hudsk,C,0.42,15.2,10,8.2,0.301029996,0.004321374,-1.856405325,-0.091246981,-2.259637311,-0.091362755,-3.110847964,-1.429884342,-0.039315278,-0.51458124,1.591317926,0.454827518,0.843243134,0.009894028
hud,hudtn,A,0.24,16.9,8.55,7.5,1.041392685,0.477121255,-1.455931956,-0.503070352,-2.017728767,1.680501165,-1.008231879,-0.723648519,0.327346532,-0.005306004,0.61214083,-0.135078441,0.367793751,-0.05480194
hud,hudts,A,0.24,16.6,8.7,7.6,0.954242509,0.440121603,-1.522878745,-0.494850022,-2.008773924,1.433944584,-1.243430291,-0.786510388,0.223713739,0.003073704,0.718310072,-0.050957225,0.450730333,-0.011033864
jac,jacb6,B,45.705,15.7,8.25,8,0.954242509,0.662285516,-1.809668302,-2.221502524,-1.628932138,-1.061837537,-0.463556262,0.098309271,-1.042049451,0.718429867,-0.283132111,-0.632161519,-0.199079274,0.177567229
jac,jacb9,B,43.63,16.7,8,7.9,0.84509804,0.724685388,-1.823908741,-2.062642242,-1.617082865,-0.93479904,-0.329612345,0.030260797,-0.852211362,0.685427388,-0.407151618,-0.253859327,-0.064688953,0.060896858
jac,jacba,A,2.99,16.1,8.4,6.3,1.113943352,0.414137362,-1.853871964,-0.919012953,-2.22184875,2.43399851,-0.628489086,-1.490465709,2.325319059,1.394191175,-1.057143724,-0.168141976,-0.551971638,-0.772933022
jac,jacne,A,24.72,15.5,8.4,7.3,0.77815125,0.608793374,-1.397940009,-1.301029996,-1.744727495,0.820218268,-0.815161512,0.014135464,0.413604921,0.163488554,-0.785768692,-0.241937668,0.206813181,-0.264821897
job,job09,B,56.01,29.2,4.3,7.7,0.301029996,0.496583734,-1.212362443,-2.552841969,-2.47820835,-2.125496559,2.343625305,0.184801692,1.274382027,-1.591130921,-0.433071689,0.434508858,0.356895599,-0.083703851
job,job10,B,55.5775,29.3,5.2,7.8,0,0.164352856,-1.208484788,-2.346787486,-2.80557936,-2.598821152,1.440033837,-0.233401266,1.654011259,-2.172636716,-0.138906366,0.340777053,0.494542898,-0.358459987
job,job19,B,54.265,28.8,6.3,8.1,0,-0.244125144,-1.381690359,-2.698670173,-2.744727495,-3.401625905,0.614097477,-0.38738092,1.570263756,-1.868336213,0.604407113,-0.353324491,0.662904578,-0.426729635
job,job20,B,54.14,28.6,6.2,8.1,0.301029996,-0.491470281,-1.335358024,-2.584034794,-2.685857789,-3.175394563,0.62653691,-0.123088178,1.790987127,-1.741709043,1.189647173,-0.77793168,0.252916692,-0.443428526
kac,kachd,C,48.14,6.2,9.9,8,0.301029996,-0.015472687,-1.684204526,-0.943666965,-1.512861625,-1.04507596,-3.626774584,0.705642204,-0.254959457,0.025795983,-0.231332544,-0.196209715,-0.481008558,0.138687923
kac,kachs,C,45.515,8.6,10.8,8.1,0.477121255,0.136720567,-1.853871964,-1.030273545,-1.605110743,-1.02343517,-3.472678967,0.085941394,-0.884111226,0.29059106,-0.025054319,-0.461769801,-0.362073753,-0.274148666
kac,kacsd,C,48.625,6.75,9.8,8,0,0.053078443,-1.797239313,-0.875251309,-1.537602002,-1.373708853,-3.751175966,0.50523505,-0.189114018,-0.037180972,-0.470387591,0.359973201,-0.232019384,0.082288886
kac,kacss,C,47.855,6.55,10.3,8,0,0.161368002,-1.751413756,-0.895769034,-1.573488739,-1.226356133,-3.855557462,0.383177006,-0.442930574,-0.113438823,-0.668806403,0.221975894,-0.107056617,-0.023860061
lks,lksba,A,0.195,15.4,9,7.6,0.903089987,0.991226076,-1.337242168,-0.563042669,-2.187086643,1.898111689,-0.990018019,-0.994685315,-0.610144451,-0.424232552,-0.200442646,0.025981644,0.706617955,0.199468785
