FID_1,station,lon,lat,FID_2,objectid,tnmid,metasource,sourcedata,sourceorig,sourcefeat,loaddate,referenceg,areaacres,areasqkm,states,huc8,name,globalid,shape_Leng,shape_Area
109,OWCOL,-82.51388900000,41.38166700000,15,331,{C1CECB86-90D0-4FCA-9A4C-44BB7EF5A144},,,,,9/20/2019,,488453.35000000000,1976.70000000000,OH,04100012,Huron-Vermilion,{A7293A4B-14EF-4112-B8D8-369D17FCBBB8},2.88982314064,0.21209416280
110,OWCRR,-82.51305600000,41.37250000000,15,331,{C1CECB86-90D0-4FCA-9A4C-44BB7EF5A144},,,,,9/20/2019,,488453.35000000000,1976.70000000000,OH,04100012,Huron-Vermilion,{A7293A4B-14EF-4112-B8D8-369D17FCBBB8},2.88982314064,0.21209416280
111,OWCSU,-82.50720000000,41.36720000000,15,331,{C1CECB86-90D0-4FCA-9A4C-44BB7EF5A144},,,,,9/20/2019,,488453.35000000000,1976.70000000000,OH,04100012,Huron-Vermilion,{A7293A4B-14EF-4112-B8D8-369D17FCBBB8},2.88982314064,0.21209416280
112,OWCWM,-82.51444400000,41.38250000000,15,331,{C1CECB86-90D0-4FCA-9A4C-44BB7EF5A144},,,,,9/20/2019,,488453.35000000000,1976.70000000000,OH,04100012,Huron-Vermilion,{A7293A4B-14EF-4112-B8D8-369D17FCBBB8},2.88982314064,0.21209416280
50,HEEKK,-157.80524000000,21.43582000000,16,463,{61E27D46-F20C-4E99-86E3-532B8C969F4D},,,,,10/11/2016,,714718.94000000000,2892.37000000000,HI,20060000,Oahu,{0EE11FE3-C46F-4B66-B415-79EE7C5829A1},2.13413420092,0.25202582942
51,HEEPH,-157.82320000000,21.40920000000,16,463,{61E27D46-F20C-4E99-86E3-532B8C969F4D},,,,,10/11/2016,,714718.94000000000,2892.37000000000,HI,20060000,Oahu,{0EE11FE3-C46F-4B66-B415-79EE7C5829A1},2.13413420092,0.25202582942
52,HEER9,-157.80183000000,21.44628000000,16,463,{61E27D46-F20C-4E99-86E3-532B8C969F4D},,,,,10/11/2016,,714718.94000000000,2892.37000000000,HI,20060000,Oahu,{0EE11FE3-C46F-4B66-B415-79EE7C5829A1},2.13413420092,0.25202582942
53,HEEW2,-157.81093000000,21.43831000000,16,463,{61E27D46-F20C-4E99-86E3-532B8C969F4D},,,,,10/11/2016,,714718.94000000000,2892.37000000000,HI,20060000,Oahu,{0EE11FE3-C46F-4B66-B415-79EE7C5829A1},2.13413420092,0.25202582942
96,NIWCA,-79.16670000000,33.45000000000,17,812,{386F2C72-6963-4754-B1FB-7EC89466FDEF},{F5FC7440-ABDF-4CF1-82CC-644E768C65BA},,U.S. Geological Survey,,1/14/2022,,1056903.65000000000,4277.14000000000,"NC,SC",03040206,Waccamaw,{8CE67F41-335F-43B2-BD0B-831C7162F1B2},5.25084683899,0.41780476575
136,SFBCC,-122.46040000000,38.00120000000,18,894,{E67739F5-92F6-49B0-A017-F4A0372DD4F9},{1FF46025-874C-4D4B-BD40-702A6B62DC21},,U.S. Geological Survey,,3/16/2022,,784702.12000000000,3175.58000000000,CA,18050002,San Pablo Bay,{4F390571-E964-4880-B8CD-19EF3922186A},4.06255923116,0.32654735406
