"station","param","p_0","p_5","p_10","p_25","p_50","p_75","p_90","p_95","p_100"
"noclc","do_pct",77,86.985,87.9,90.7,94.9,97.5,99.51,100.605,104.1
"noclc","ph",7.6,7.8,7.8,7.9,8,8.1,8.2,8.3,8.7
"noclc","turb",1,2,2,3,5,6,8,9,14
"nocrc","temp",7.1,9.4,10.6,13.1,20.7,26.6,28,28.5,29.3
"nocrc","spcond",34.6,40.54625,43.2065,45.475,48.045,50.685,52.2275,52.9495,54.55
"nocrc","sal",21.6,25.82,27.7,29.4,31.275,33.2,34.4,34.995,36
"nocrc","do_mgl",4.8,5.2,5.4,5.7,7,8.3,9.16,9.6,10.3
"nocrc","do_pct",74.8,77.8,80.15,84.45,90.9,96.35,99.2,100.97,104.5
"nocrc","ph",7.5,7.645,7.7,7.8,7.9,8.1,8.3,8.5,8.9
"nocrc","turb",1,2,2,3,6,9,11,13.55,27
"noczb","temp",6.1,9.125,10.65,13.825,20.75,26.975,28.8,29.2,30.2
"noczb","spcond",12.045,19.6425,23,28.725,35.5,41.625,44.88,47.6125,50.78
"noczb","sal",6.9,11.9,13.9,17.75,22.6,26.6,28.9,30.9,33.2
"noczb","do_mgl",0.7,3.97,4.6,5.45,6.7,8.8,9.5,10.23,11.6
"noczb","do_pct",9.8,59.07,66.38,77.1,85.9,92.9,97.42,100.56,113.2
"noczb","ph",6.3,7.3,7.4,7.5,7.7,7.9,8.28,8.5,9.2
"noczb","turb",3,6,7,10,15,27,38.6,56.8,290
"owcbr","temp",0.9,4.5,5.3,9.6,14.9,20,21.3,22.1,24
"owcbr","spcond",0.38,0.5035,0.54,0.59,0.65,0.72,0.79,0.8365,1.09
"owcbr","sal",0.2,0.235,0.3,0.3,0.3,0.4,0.4,0.4,0.5
"owcbr","do_mgl",3.15,5.6,6.2,7.2,8.1,10.8,11.8,12.4,14
"owcbr","do_pct",33.4,59.175,65.15,74.6,84.7,91.8,94.5,96.8,107.9
"owcbr","ph",7.1,7.5,7.6,7.7,7.8,7.9,8,8.055,8.3
"owcbr","turb",2,4,5,7,10,14,24.9,35.9,629
"owcdr","temp",0.8,4.2,5.3,8.35,15.7,20.55,22.5,23.08,25.4
"owcdr","spcond",0.43,0.481,0.512,0.56,0.63,0.68,0.74,0.778,0.94
"owcdr","sal",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5
"owcdr","do_mgl",0.2,1.82,2.44,3.7,6.7,10.1,11.7,12.8,16.3
"owcdr","do_pct",3.7,21.71,25.66,40.9,68.8,87.825,95.48,99.89,118.7
"owcdr","ph",7.1,7.3,7.3,7.425,7.6,7.8,7.9,8,8.2
"owcdr","turb",4,7,9,12,17,22,29,36.9,60
"owcol","temp",0.3,4.6,5.4,9.4,16.8,23.05,25,25.73,27.4
"owcol","spcond",0.32,0.356,0.382,0.42,0.5,0.56,0.628,0.654,0.74
"owcol","sal",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4
"owcol","do_mgl",1.6,2.765,3.59,5.925,7.85,10.4,11.8,12.735,14.8
"owcol","do_pct",19.1,33.3525,41.455,67.35,82.5,92,97.785,100.88,115.9
"owcol","ph",7.1,7.27,7.3,7.5,7.7,7.9,8.1,8.13,8.5
"owcol","turb",5,12,14.4,22,30,47.5,72.2,86.3,125
"owcsu","temp",2.5,4.66,5.04,10.1,15.3,21.3,24.12,24.58,26
"owcsu","spcond",0.52,0.56,0.572,0.62,0.67,0.7,0.718,0.75,0.82
"owcsu","sal",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"owcsu","do_mgl",2.9,3.32,3.84,6.3,7.4,10.6,12.5,13.9,15.7
"owcsu","do_pct",28.2,35.96,39.76,66,81.95,90.6,100.98,107.4,122
"owcsu","ph",7.3,7.4,7.42,7.7,7.8,7.9,8,8.04,8.5
"owcsu","turb",3,6.55,8.1,12.5,17.5,26,38.9,40.35,95
"owcwm","temp",0.1,3.74,5.3,8.9,16.7,23,24.82,25.64,28.1
"owcwm","spcond",0.3,0.3465,0.36,0.41,0.48,0.5375,0.597,0.6235,0.74
