"station","param","p_0","p_5","p_10","p_25","p_50","p_75","p_90","p_95","p_100"
"wqbmh","spcond",45.54,46.242,46.648,47.24,47.86,48.435,49.07,49.756,51
"wqbmh","sal",29.5,29.9,30.2,30.5,30.9,31.3,31.6,31.7,32.5
"wqbmh","do_mgl",5.7,6.92,7.1,7.6,8.8,10.7,11.5,11.9,13
"wqbmh","do_pct",80.5,94.86,97.08,99.4,101.2,102.9,106,108.62,119.4
"wqbmh","ph",7.6,7.8,7.9,7.9,8,8.1,8.2,8.3,8.6
"wqbmh","turb",0,1,1,1,2,3,4,5,15
"wqbmp","temp",0.5,2.955,4.23,9.7,16.6,22.375,25.39,26,26.7
"wqbmp","spcond",41.54,44.39,44.8,45.58,46.315,46.98,47.55,47.8575,50.49
"wqbmp","sal",26.7,28.6,29,29.4,29.9,30.4,30.6,30.8,33.1
"wqbmp","do_mgl",5.8,6.64,6.8,7.4,8.4,9.9,11.1,11.4,12.2
"wqbmp","do_pct",76.5,92.24,94.94,98.6,102,105.5,108.88,111.45,126.45
"wqbmp","ph",7.1,7.8,7.9,7.9,8,8.1,8.13,8.2,8.5
"wqbmp","turb",-1,0,0,1,1,2,2,2.79999999999998,14
"wqbsl","temp",0.5,4.04,5.8,10.95,17.8,22.9,25.33,25.815,26.5
"wqbsl","spcond",41.28,42.6565,43.561,44.475,45.32,46.4575,47.362,47.74,48.99
"wqbsl","sal",26.5,27.3,28,28.5,29.2,30.1,30.7,30.99,32
"wqbsl","do_mgl",3,6.1,6.4,6.875,7.8,9.4,10.5,11.325,13.3
"wqbsl","do_pct",43.5,86,89.78,92.6,96.8,100.7,104.92,109.22,123.1
"wqbsl","ph",7.2,7.7,7.7,7.8,7.9,8,8.1,8.1,8.3
"wqbsl","turb",0,0,0,1,1,2,3,3,18
"acebb","chla",,2.2332,2.844,3.71,4.663,6.36,8.0326,9.001,
"acebb","nh4f",,0.009895,0.0145,0.0274,0.04745,0.067975,0.08995,0.1273,
"acebb","no23f",,0.00475,0.00582,0.009,0.01525,0.025,0.04416,0.05924,
"acebb","po4f",,0.018775,0.0216,0.029,0.043125,0.05765,0.07674,0.09034,
"aceei","chla",,3.3595,3.975,5.45,6.82,8.375,10.1275,11.125,
"aceei","nh4f",,0.00647916712679358,0.00855,0.0135,0.024425,0.036,0.06158,0.0664875,
"aceei","no23f",,0.00344601163201773,0.006265,0.011,0.024875,0.0361125,0.04369,0.0483175,
"aceei","po4f",,0.0106725,0.012605,0.0169125,0.025625,0.0345625,0.0773500000000001,0.0826175,
"acefc","chla",,1.80125,2.96925,4.70875,8.0775,14.702,24.7843,33.8375,
"acefc","nh4f",,0.00569309992162857,0.0133,0.031,0.0515,0.0857,0.1204,0.14904,
"acefc","no23f",,0.010605,0.01481,0.02505,0.03945,0.062725,0.08426,0.093815,
"acefc","po4f",,0.03061,0.037015,0.0508625,0.0716,0.099375,0.12645,0.1442575,
"acemc","chla",,3.07975,3.65,4.7625,7.53175,11.2225,14.6045,19.094825,
"acemc","nh4f",,0.0049425,0.0075,0.0193125,0.043575,0.071125,0.10249,0.120765,
"acemc","no23f",,0.0088625,0.012725,0.0219625,0.0355,0.084275,0.1306,0.18925,
"acemc","po4f",,0.02641,0.031,0.040475,0.053975,0.0712,0.0925,0.110895,
"acesp","chla",,1.833,2.12,2.985,4.034,5.57,8.033,10.9,
"acesp","nh4f",,0.00513757654044329,0.01535,0.0312625,0.052175,0.0835625,0.136,0.164875,
"acesp","no23f",,0.00409,0.00617,0.0098,0.01675,0.029075,0.04577,0.0597699999999998,
"acesp","po4f",,0.015395,0.01824,0.028,0.0385,0.063925,0.08606,0.103685,
"apacp","chla",,1.521625,2.118,3.525,6.15,10,14,15,
"apacp","nh4f",,0.005,0.006,0.0106100968326153,0.0235,0.044,0.065,0.087375,
"apacp","no23f",,0.00276432697289743,0.00442691361294259,0.0119086838149444,0.0421666666666667,0.15,0.25,0.3034,
"apacp","po4f",,0.00033997833096427,0.000492392245612241,0.001,0.002,0.0045,0.007,0.01,
"apadb","chla",,1.988,2.8,4.7,8,11,14.79,19,
"apadb","nh4f",,0.00384187105899495,0.004,0.006,0.0136403744069447,0.028,0.0492,0.0705999999999999,
"apadb","no23f",,0.00175805285230741,0.00287611259209426,0.005,0.038,0.1675,0.2663,0.325916666666667,
"apadb","po4f",,0.000206232144096885,0.000297574703201257,0.000637919668080662,0.0015,0.004,0.006,0.0085,
"apaeb","chla",,1.3495,2.17109330772669,7.484375,12.2544166666667,18,23.64,28.84,
"apaeb","nh4f",,0.0043592948050372,0.006,0.0110053889709148,0.029,0.0605,0.098,0.13,
"apaeb","no23f",,0.00179956654565805,0.00280699712013479,0.00516666666666667,0.024,0.0655,0.1268,0.1853,
"apaeb","po4f",,0.000231306113008705,0.000385193355860819,0.000992551979195303,0.002,0.004,0.007,0.0117,
"apaeg","chla",,1.7,2.4,4.165,6.2,9.515,13,15,
"apaeg","nh4f",,0.005,0.006,0.011,0.022,0.0393333333333333,0.063,0.076,
"apaeg","no23f",,0.0179530474787023,0.0366,0.099,0.2365,0.364375,0.4542,0.494675,
"apaeg","po4f",,0.000525892660059392,0.000820589404024413,0.0013750429276436,0.003,0.007,0.012,0.0151499999999999,
"apaes","chla",,1.28,2.4,6.62666666666667,11.6666666666667,17,22.1,24.6,
"apaes","nh4f",,0.00402320904385037,0.006,0.01,0.024,0.044,0.0796,0.1083,
"apaes","no23f",,0.00166136792903208,0.00277953805291359,0.005,0.025,0.0765,0.165,0.21225,
"apaes","po4f",,0.000167518361862849,0.000269414590785669,0.000715419906283324,0.002,0.004,0.007,0.014325,
"apamb","chla",,1.795,2.65,4.04125,6.95,9.325,12,13.85,
"apamb","nh4f",,0.00302194928597599,0.004,0.006,0.013,0.025,0.054,0.0711666666666666,
"apamb","no23f",,0.004,0.00503118114416388,0.0113610869429584,0.10325,0.23175,0.3455,0.40475,
"apamb","po4f",,0.000363614854065268,0.000512682252017508,0.001,0.002,0.004,0.008,0.011,
"apanh","chla",,1.615,2.3,3.757875,5.8,8.6,11,12.925,
"apanh","nh4f",,0.0025840676950603,0.003,0.005,0.01,0.022,0.0388,0.0591999999999999,
"apanh","no23f",,0.00200459668704933,0.00304706522180362,0.007,0.056,0.155625,0.2734,0.35,
"apanh","po4f",,0.000203863321526872,0.000295048851544696,0.00058701944342291,0.00125325389781447,0.003,0.006,0.01,
"apapc","chla",,1.9,2.442,3.4375,5.4,8.1,11,13,
"apapc","nh4f",,0.00222232288690197,0.003,0.005,0.009,0.020375,0.0402,0.0607499999999999,
"apapc","no23f",,0.000710871632011797,0.00121713288666221,0.0032044096851363,0.0105,0.118,0.208,0.256,
"apapc","po4f",,0.000158269912041287,0.000239027726340561,0.00047657800302363,0.0010047031701909,0.00214230992929943,0.005,0.00832499999999999,
"aparv","chla",,0.903333333333333,1.2838,1.761875,3.1,4.7,7.51666666666667,10.4115,
"aparv","nh4f",,0.0085,0.0108675208965597,0.015,0.02575,0.037,0.0537,0.068675,
"aparv","no23f",,0.114,0.182,0.29,0.41,0.51,0.58,0.643,
"aparv","po4f",,0.00188806350886598,0.00226900916041154,0.0045,0.008,0.01,0.014,0.01795,
"apasc","chla",,0.787535190526677,0.96,1.5,2.565,4.1,5.9886,8.11999999999999,
"apasc","nh4f",,0.00194269894820323,0.00258205676137897,0.004,0.008,0.0175,0.039,0.053,
"apasc","no23f",,0.000287287909660641,0.000465029944940457,0.0010810926331616,0.003,0.007625,0.02065,0.030775,
"apasc","po4f",,0.000268399387001362,0.000358684457875304,0.000620429722544592,0.00109667900686026,0.00202472824080487,0.004,0.00534999999999999,
"apawp","chla",,1.44,2.338,4.2,6.1,8.9,12,14,
"apawp","nh4f",,0.003,0.00365870458575746,0.005,0.011,0.0235,0.042,0.061,
"apawp","no23f",,0.00142158447470715,0.00224340829622993,0.00477128039328661,0.027,0.13,0.23,0.278,
"apawp","po4f",,0.000249065587792963,0.000364746594198939,0.000699362158056661,0.00140767698822283,0.0032896541296697,0.006,0.009,
"cbmip","chla",,0.96,1.392,1.815,2.935,5.13333333333333,10.722,18.646,
"cbmip","nh4f",,0.0224,0.028,0.04,0.0536666666666667,0.0783333333333333,0.106,0.147533333333333,
"cbmip","no23f",,0.1423,0.167266666666667,0.237666666666667,0.345333333333333,0.51475,0.816933333333334,1.02873333333333,
"cbmip","po4f",,0.010465,0.014505,0.0257625,0.0494,0.10425,0.21688,0.2823625,
"cbmmb","chla",,1.671,2.28,5.06,7.83,12.1475,17.571,19.0095,
"cbmmb","nh4f",,0.00155251038173177,0.00178661381762615,0.00405103086212238,0.00821000259274239,0.02675,0.0783,0.0874,
"cbmmb","no23f",,0.00299577857613068,0.00494,0.0248125,0.046375,0.104275,0.3557,0.4257,
"cbmmb","po4f",,0.00149587643636649,0.00199346164307887,0.0038875,0.01395,0.0246375,0.04481,0.0583875,
"cbmmc","chla",,1.915,2.62,3.94833333333333,6.94,15.89,31.1133333333333,51.0233333333333,
"cbmmc","nh4f",,0.0111793689347823,0.0151333333333333,0.0245,0.047,0.0785,0.106533333333333,0.1262,
"cbmmc","no23f",,0.0203266666666667,0.0302933333333333,0.077,0.208833333333333,0.380875,0.50915,0.63995,
"cbmmc","po4f",,0.006955,0.0086,0.0121,0.0155333333333333,0.0221625,0.0297866666666667,0.03278,
"cbmoc","chla",,6.049,8.89833333333333,17.83625,27.405,48.59875,70.5555,82.7826249999999,
"cbmoc","nh4f",,0.00758333333333333,0.0111,0.02,0.038,0.07375,0.131316666666667,0.175825,
"cbmoc","no23f",,0.0139666666666667,0.0247,0.2445,0.565,1.03966666666667,1.402,1.66,
"cbmoc","po4f",,0.00236302537512107,0.00263581921673488,0.00333333333333333,0.00396666666666667,0.0053,0.00686,0.00834,
"cbmrr","chla",,1.5,2.14,3.49,8.41,22.65875,36.8626666666667,46.926,
"cbmrr","nh4f",,0.014,0.0196666666666667,0.0351666666666667,0.0545,0.0729583333333333,0.110866666666667,0.15115,
"cbmrr","no23f",,0.1371,0.2096,0.350166666666667,0.5965,0.90425,1.226,1.367,
"cbmrr","po4f",,0.0080825,0.009015,0.01255,0.0166166666666667,0.022725,0.0320441666666667,0.037095,
"cbvcb","chla",,2.235,3.6035,5.89,8.5525,13.1075,17.261,22.77325,
"cbvcb","nh4f",,0.00679992178841079,0.01002,0.0171125,0.030025,0.05705,0.097985,0.106755,
"cbvcb","no23f",,0.00091799410438243,0.00143788764285588,0.00302584360713972,0.0135,0.0774,0.14606,0.17478,
"cbvcb","po4f",,0.0019,0.00288730920119182,0.005,0.012425,0.02645,0.041995,0.051475,
"cbvci","chla",,2.19,2.7125,4.525,7.2775,10.9675,15.53,18.705,
"cbvci","nh4f",,0.00717446602613862,0.01185,0.019875,0.034,0.06705,0.1042,0.1234,
"cbvci","no23f",,0.000541995871448792,0.000918392630375331,0.00200259325581195,0.00885,0.06775,0.12408,0.15213,
"cbvci","po4f",,0.00184835559216078,0.00239122242128435,0.005,0.01045,0.020625,0.036925,0.0429475,
"cbvgi","chla",,1.348,1.846,3.0075,4.6925,7.71875,11.5195,14.52775,
"cbvgi","nh4f",,0.01134,0.0153493333298574,0.0215,0.0323,0.0536,0.10517,0.14179,
"cbvgi","no23f",,7.41743841286713e-05,0.000131084631120934,0.000455153795925136,0.00150714045316599,0.00815,0.0474,0.0736949999999999,
"cbvgi","po4f",,0.00153360720642932,0.00187124499911107,0.002825,0.006,0.00965,0.015835,0.02057,
"cbvsh","chla",,0.79848424051208,1.3525,2.1875,5.8725,13.175,21.01,28.37875,
"cbvsh","nh4f",,0.00753097370812162,0.00919241808255962,0.0144125,0.0306,0.0481,0.07275,0.086125,
"cbvsh","no23f",,0.0103171914504944,0.0144434261226025,0.0635,0.1763,0.2657,0.36942,0.43342,
"cbvsh","po4f",,0.00595,0.00765,0.0129875,0.019,0.0249125,0.031,0.0337625,
"cbvsp","chla",,1.4225,1.905,2.8175,6.48,17.0575,23.955,26.2125,
"cbvsp","nh4f",,0.01285,0.01968,0.028,0.0413,0.0645,0.08459,0.10296,
"cbvsp","no23f",,0.00704835120653991,0.008655,0.054125,0.18505,0.2936125,0.381255,0.41882,
"cbvsp","po4f",,0.0133625,0.01448,0.0186125,0.02435,0.0292375,0.03683,0.0396775,
"cbvtc","chla",,1.1895,2.235,4.75,10.76,25.2575,44.749,58.5975,
"cbvtc","nh4f",,0.00798147745906621,0.010075,0.0191,0.045725,0.07995,0.11735,0.1570125,
"cbvtc","no23f",,0.00220555816022457,0.00326823871064199,0.0076875,0.0418,0.1051625,0.182475,0.2564375,
"cbvtc","po4f",,0.01,0.01365,0.020025,0.03045,0.046,0.05804,0.0731749999999999,
"cbvyb","chla",,2.04725,2.6785,4.31875,7.22,11.04875,17.048,24.0715,
"cbvyb","nh4f",,0.00754919529302598,0.014095,0.023,0.03715,0.08225,0.114875,0.1500825,
"cbvyb","no23f",,0.000390405202588229,0.000629971520418585,0.00146470054273803,0.006,0.0613,0.12203,0.16616,
"cbvyb","po4f",,0.00193032005556719,0.0023,0.004925,0.0107,0.02055,0.0367,0.04315,
"delbb","chla",,0.726126444869747,1.234,3.7375,14.095,43.75,81.932,105.66425,
"delbb","nh4f",,0.0066,0.00925427458177734,0.0202,0.0483333333333333,0.10675,0.18014,0.223635,
"delbb","no23f",,0.00934106994309698,0.0159760955516165,0.0668,0.1974,0.3816875,0.6192,0.7495575,
"delbb","po4f",,0.00276046172474605,0.00322194993161784,0.00685,0.014,0.0209,0.032,0.04,
"delbl","chla",,1.44,2.6,9.5,27.6333333333333,59.44,83.78,112,
"delbl","nh4f",,0.00648436422451174,0.0083119633047907,0.01515,0.0443,0.094,0.163155,0.2270725,
"delbl","no23f",,0.0138103155697445,0.0239,0.0545924899218192,0.385,0.80575,1.1152,1.27766666666667,
"delbl","po4f",,0.00332750332781426,0.00410602103797694,0.0097,0.01525,0.0261,0.0360466666666667,0.046,
"delds","chla",,1.62,4.32,11.0175,27.65,46.3,73.488,98.227,
"delds","nh4f",,0.00803477828241472,0.0103400796231992,0.026,0.068,0.1239,0.1824,0.282666666666667,
"delds","no23f",,0.03846,0.055,0.101,0.222,0.5664,0.96484,1.144,
"delds","po4f",,0.00229780154590291,0.00306396541334326,0.00695,0.016,0.026,0.04468,0.05952,
"delll","chla",,1.8345,3.2755,8.595,17.19,39.035,76.346,95.2695,
"delll","nh4f",,0.0148275,0.0206,0.0582,0.106883333333333,0.16585,0.241315,0.28861,
"delll","no23f",,0.0467081445013603,0.09748,0.3085,0.888,1.633975,2.25476,2.65482,
"delll","po4f",,0.005225,0.007875,0.01395,0.024,0.0427,0.070975,0.0792,
"delsl","chla",,1.94575,3.1315,5.67666666666667,11.135,19.79125,30.17,41.886,
"delsl","nh4f",,0.04493,0.062125,0.101,0.144591666666667,0.21245,0.268925,0.342367499999999,
"delsl","no23f",,0.08287,0.1067,0.24545,0.603,1.335,1.83839,2.183,
"delsl","po4f",,0.007776345932415,0.0131,0.02615,0.043,0.069,0.0952133333333334,0.12414,
"deltb","chla",,2.37,2.8,6.57,14.04,30.8,48.3,56.6,
"deltb","nh4f",,0.00866829818711184,0.0116,0.025,0.0594,0.1147,0.1664,0.1902,
"deltb","no23f",,0.0370275846720837,0.06412,0.1672,0.472,0.757166666666667,1.0132,1.12471,
"deltb","po4f",,0.00841,0.01334,0.021,0.03,0.04435,0.0585333333333333,0.06391,
"elkap","chla",,0.91875,1.52,2.6675625,4.015,6.59375,11.9425,14.26375,
"elkap","nh4f",,0.00966,0.01848,0.035,0.0577,0.106333333333333,0.1707,0.2519,
"elkap","no23f",,0.00129706107225303,0.00243614476863139,0.00795,0.019825,0.0766125,0.376146666666667,0.6800625,
"elkap","po4f",,0.0242275,0.029,0.0416666666666667,0.0601,0.09055,0.13705,0.1696725,
"elknm","chla",,1.23,1.686,3.37,5.85333333333333,10.8,20.272,26.171,
"elknm","nh4f",,0.00891063799997852,0.01666,0.0435,0.07065,0.1033,0.1572,0.2134,
"elknm","no23f",,0.00794441458011189,0.01507,0.03005,0.05525,0.120775,0.2681,0.39979,
"elknm","po4f",,0.0189733333333333,0.0241512489743974,0.033,0.045,0.057,0.0722666666666667,0.08946,
"elksm","chla",,0.8575,1.27395,2.0425,3.525,6.3467375,11.625,15.94125,
"elksm","nh4f",,0.015445,0.0242,0.0403333333333333,0.0664083333333333,0.0965625,0.15383,0.18707,
"elksm","no23f",,0.0158008144545912,0.0256,0.04815,0.0808333333333333,0.15525,0.434,0.7165,
"elksm","po4f",,0.0242166666666667,0.02779,0.03455,0.0443166666666667,0.0534875,0.06541,0.0763075,
"elkvm","chla",,0.55318,0.923,1.695,2.44,3.78,5.80964,8.48999999999999,
"elkvm","nh4f",,0.0204933333333333,0.02942,0.0406666666666667,0.059,0.0821,0.137,0.1598,
"elkvm","no23f",,0.030675,0.04815,0.08295,0.1382,0.236166666666667,0.42064,0.705209999999999,
"elkvm","po4f",,0.0154048587073715,0.02158,0.02905,0.0377,0.04775,0.0596,0.08081,
"gndbc","chla",,0.995,1.55,4.19,7.38,13.135,21.85,27.675,
"gndbc","nh4f",,0.00158601464047177,0.00223790661712275,0.005,0.0105,0.0325,0.0629,0.0924,
"gndbc","no23f",,0.000757963133582718,0.00113686848145016,0.00222094767685844,0.00458121813570273,0.011,0.0208,0.0433999999999998,
"gndbc","po4f",,0.00100458726097211,0.00130838549506199,0.00214666557633254,0.00396586819401764,0.0060422795823001,0.0095,0.0120089592751575,
"gndbh","chla",,0.485,0.75,2.50375,5.8625,11.61125,18.1185,22.7845,
"gndbh","nh4f",,0.0035,0.0055,0.0108563795614873,0.032,0.1005,0.17305,0.225775,
"gndbh","no23f",,0.00116945358331411,0.00168424909563599,0.00298637864796374,0.0055,0.0105,0.0192,0.0361,
"gndbh","po4f",,0.00113153308785636,0.00142835250227979,0.00207971162910152,0.00333345554294646,0.0055,0.00792813792861062,0.00995364128216193,
"gndbl","chla",,0.731,1.072,3.4,6.635,11.5275,17.204,20.4845,
"gndbl","nh4f",,0.00100546165440804,0.0015336754911749,0.00353585909904191,0.00515667337157225,0.0103405069007645,0.03955,0.061225,
"gndbl","no23f",,0.000131896132696734,0.000231036748278124,0.000609501759756977,0.00150064167261641,0.00433697471325812,0.01335,0.027125,
"gndbl","po4f",,0.000421079150244578,0.000742469167942842,0.00247617649238818,0.00637122718904321,0.0155,0.0479000000000002,0.0939,
"gndbn","chla",,0.718979723834573,1.2105,3.345,6.04,12.6525,19.031,20.36625,
"gndbn","nh4f",,0.00126703476257941,0.00184019226094398,0.00430174004875972,0.007896251626418,0.027,0.054,0.08375,
"gndbn","no23f",,0.000561360882117702,0.000862287675537687,0.00173909064150945,0.0032370436709718,0.00678816452434309,0.01675,0.021825,
"gndbn","po4f",,0.00191249687803666,0.00310623871706233,0.00733204238166121,0.0175,0.0455,0.1201,0.288999999999999,
"gndcr","chla",,6.68,6.68,6.68,6.68,6.68,6.68,6.68,
"gndcr","nh4f",,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,
"gndcr","no23f",,0.00183983291608615,0.00202184662475056,0.0025678877507438,0.00373213411508674,0.0125,0.0197,0.0221,
"gndcr","po4f",,6.0445935551289e-05,9.64882217349196e-05,0.000204615080285811,0.00107173720589776,0.024,0.1188,0.1504,
"gndhs","chla",,0.282894120816316,0.3635,0.68875,2.27,9.96625,21.3625,30.479,
"gndhs","nh4f",,0.00309383654383688,0.00549314494278732,0.00939305416622954,0.0185,0.0395,0.0785,0.14365,
"gndhs","no23f",,0.000640093743440334,0.000993229786242383,0.00199225563222237,0.00521734006798814,0.013,0.0465,0.0679999999999999,
"gndhs","po4f",,0.00124422247399999,0.00149418578439954,0.00209899254985448,0.00319455548658297,0.0045,0.00627823877514987,0.00888314561193141,
"gndpc","chla",,0.780579597065722,1.311,3.55,6.785,10.945,16.536,21.918,
"gndpc","nh4f",,0.000839358399723044,0.00120998290989617,0.003,0.005,0.008,0.0281,0.0564,
"gndpc","no23f",,0.000201528812372237,0.000329860327356826,0.000756181217893748,0.00186532459688491,0.00523418256214133,0.01325,0.036375,
"gndpc","po4f",,0.000585425654623263,0.000876632757625449,0.002,0.004,0.009,0.0197,0.0335999999999999,
"grbgb","chla",,1.42066666666667,1.7983,2.54666666666667,4.67333333333333,7.01,10.4766666666667,15.67,
"grbgb","nh4f",,0.00483594491112672,0.00646059149388226,0.00903358366546538,0.02525,0.05205,0.07825,0.099935,
"grbgb","no23f",,0.00571111577462531,0.007,0.0143,0.052,0.0978125,0.13546,0.158875,
"grbgb","po4f",,0.00500279716489571,0.0063472187041894,0.012,0.0221666666666667,0.030475,0.0379666666666667,0.044405,
"grblr","chla",,0.513,0.854,1.36,2.15,4.4325,9.66300000000001,18.524,
"grblr","nh4f",,0.0080275,0.012,0.02075,0.03865,0.0589166666666667,0.0903,0.133025,
"grblr","no23f",,0.0446625,0.052,0.074125,0.108,0.14825,0.18875,0.213,
"grblr","po4f",,0.00149205731976874,0.00222099623793569,0.00392519334144835,0.009,0.018,0.0403,0.055955,
"grbor","chla",,0.888095508329735,1.24,2.09,4.5525,7.15416666666667,13.4816666666667,18.5941666666667,
"grbor","nh4f",,0.013,0.02088,0.039,0.057,0.082,0.1258,0.158,
"grbor","no23f",,0.0268161949168301,0.0388,0.079,0.108,0.158,0.24834,0.29906,
"grbor","po4f",,0.0088,0.012,0.021,0.0382,0.065,0.0896,0.108866666666667,
"grbsq","chla",,1.77,2.23666666666667,3.19,5.5395,8.41,12.5133333333333,15.99,
"grbsq","nh4f",,0.03303,0.0582666666666667,0.092,0.1345,0.187,0.256693333333333,0.2922,
"grbsq","no23f",,0.04525,0.0664666666666667,0.096,0.135,0.18,0.2229,0.270433333333333,
"grbsq","po4f",,0.015,0.01665,0.024,0.036,0.05,0.0625,0.07545,
"gtmfm","chla",,1.115,1.55,2.2,3.475,4.8125,6.285,7.5275,
"gtmfm","nh4f",,0.006,0.009,0.0165,0.032,0.0505,0.076,0.104,
"gtmfm","no23f",,0.00198212432515556,0.00270178091187109,0.00432788943183204,0.009,0.0143375,0.0241,0.03625,
"gtmfm","po4f",,0.005,0.00625,0.01,0.014,0.018,0.02425,0.0285,
"gtmpc","chla",,1.3,1.835,3.4625,6.8,11.5,17.55,22.15,
"gtmpc","nh4f",,0.006,0.007,0.0148966883368956,0.0315,0.051,0.0775,0.093,
"gtmpc","no23f",,0.00162557613182229,0.0023,0.00390843574590102,0.00855,0.0175,0.0281,0.03662,
"gtmpc","po4f",,0.016,0.0195,0.0245,0.033,0.044,0.0605,0.084,
"gtmpi","chla",,2.05,2.4,3.35,4.75,6.8,10.33,11.995,
"gtmpi","nh4f",,0.008925,0.01185,0.022,0.03875,0.059,0.09515,0.14045,
"gtmpi","no23f",,0.00181169147536,0.00260098470517041,0.0055,0.0103,0.0225,0.04248,0.0708299999999999,
"gtmpi","po4f",,0.0065,0.01065,0.016,0.02275,0.032,0.04235,0.049,
"gtmss","chla",,1.7525,2.2,3,4.275,5.6,7.145,8.6925,
"gtmss","nh4f",,0.00698207632851935,0.011,0.018125,0.03475,0.061875,0.10305,0.13,
"gtmss","no23f",,0.00336551317827787,0.00437099986495974,0.008,0.015775,0.031,0.047715,0.061875,
"gtmss","po4f",,0.0046,0.006,0.0105,0.0165,0.025,0.035,0.038,
"heekk","chla",,0.3464375,0.376,0.609375,0.72375,1.098125,1.61625,1.856875,
"heekk","nh4f",,0.0064,0.007675,0.0091625,0.01305,0.0159,0.02155,0.031725,
"heekk","no23f",,0.0044,0.0048,0.005975,0.008025,0.0101875,0.012475,0.0133625,
"heekk","po4f",,0.00165,0.00215,0.00315,0.0039,0.004475,0.0057,0.005775,
"heeph","chla",,0.1072375,0.145125,0.160125,0.212375,0.249,0.378225,0.536275,
"heeph","nh4f",,0.0009825,0.001075,0.00145,0.001975,0.00345,0.003945,0.0046925,
"heeph","no23f",,0.0607725,0.06277,0.0653125,0.079325,0.0864125,0.092795,0.09829,
"heeph","po4f",,0.025755,0.026695,0.031375,0.0336,0.0354875,0.03899,0.0396425,
"heer9","chla",,0.3215,0.3543,0.453,0.5975,0.895,0.957,1.299,
"heer9","nh4f",,0.00040636013381432,0.000465,0.0009625,0.002,0.0046625,0.0065425,0.00711,
"heer9","no23f",,0.00218833333333333,0.00234,0.003475,0.00475,0.0057,0.00712,0.00837999999999999,
"heer9","po4f",,0.001,0.00186,0.0026625,0.003675,0.004325,0.00467,0.0053875,
"heew2","chla",,0.56275,0.62225,0.78125,0.975,1.2475,1.52225,1.696,
"heew2","nh4f",,0.00128,0.0015,0.005425,0.00925,0.01365,0.01836,0.02124,
"heew2","no23f",,0.00033,0.00058,8e-04,0.0013,0.002525,0.01346,0.019385,
"heew2","po4f",,0.007265,0.00816,0.01095,0.01245,0.01455,0.01808,0.01951,
"hudbm","chla",,0.29,0.54,1.27,1.99,3.26,4.18,4.895,
"hudbm","nh4f",,0.00470016890621787,0.00621639621762168,0.0103557422636308,0.0285,0.04,0.0545,0.10915,
"hudbm","no23f",,0.421,0.434,0.53,1.74,1.92,2.166,2.278,
"hudbm","po4f",,0.021825,0.02245,0.02575,0.037,0.04775,0.05975,0.062775,
"hudfl","chla",,1.5,1.98,3,9.07,9.98,17.282,22.481,
"hudfl","nh4f",,0.0145249968696005,0.0161615294806103,0.0275,0.034,0.0495,0.0635,0.0785,
"hudfl","no23f",,,,,,,,,
"hudfl","po4f",,0.018625,0.01875,0.020125,0.027,0.03875,0.04325,0.044125,
"hudnp","chla",,0.49,0.665,1.52875,3.11,3.40125,4.365,4.805,
"hudnp","nh4f",,0.000425101175016393,0.000572214333673888,0.00119212625407697,0.00444654549848383,0.017125,0.0412,0.04435,
"hudnp","no23f",,0.276,0.282,0.34,0.41,0.475,0.516,0.528,
"hudnp","po4f",,0.006975,0.00855,0.010125,0.01325,0.016875,0.02365,0.027575,
"hudsc","chla",,0.219,0.313,0.58,0.975,1.85,4.487,20.365,
"hudsc","nh4f",,0.00439528835676055,0.00672940247674562,0.0136666138752429,0.031,0.066,0.175,0.27,
"hudsc","no23f",,0.128375,0.15,0.2365,0.41,0.69625,1.4542,2.64385,
"hudsc","po4f",,0.0066,0.0092,0.018,0.0345,0.0875,0.29046,0.698509999999999,
"hudsk","chla",,0.2785,0.3,0.545,1.01,2.13,4.36,29.74,
"hudsk","nh4f",,0.00463765148309048,0.0059183691140664,0.00893408667464382,0.0139185718232118,0.02225,0.035,0.04,
"hudsk","no23f",,0.386,0.4675,0.6105,0.8105,0.96975,1.1455,1.246,
"hudsk","po4f",,0.00119506062481,0.00153462956229488,0.00266213145706766,0.0055,0.010575,0.017055,0.02115,
"hudtn","chla",,0.5125,0.605,1.105,3,6.4875,9.9,17.695,
"hudtn","nh4f",,0.0127170979032291,0.0150375108978417,0.02,0.035,0.045,0.065,0.0734,
"hudtn","no23f",,0.1286,0.1771,0.23,0.314,0.39,0.4935,0.5613,
"hudtn","po4f",,0.0030404468065438,0.004,0.007,0.0096,0.0134,0.0178,0.01998,
"hudts","chla",,0.555,0.796,1.52,2.755,5.85,14.7706666666667,17.12,
"hudts","nh4f",,0.0100193236265955,0.0125342160434858,0.0184836901545735,0.03,0.05,0.07,0.08,
"hudts","no23f",,0.0530370539228863,0.1003,0.1865,0.32,0.46,0.5396,0.650099999999999,
"hudts","po4f",,0.00263816996509941,0.003,0.0055,0.0098,0.0135,0.017,0.0205,
"jacb5","chla",,1.19,1.55,2.83625,5.23,8.34125,11.5815,14.366,
"jacb5","nh4f",,0.00127630123358523,0.00193730787493491,0.003,0.0135,0.0385,0.0544,0.0754999999999998,
"jacb5","no23f",,0.000253694775192596,0.000462544349853339,0.00115384394311382,0.00312516305164036,0.017625,0.04203,0.0561999999999999,
