"","code","SpCond","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","pca_id","Map.Number","Map.Code","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9"
"72","nartb",47.405,11.4,8.5,8,0,0.273348568749101,-1.92263209471584,-2.52651302993543,-1.68983793479555,108,6,"nar",-2.45080898886853,-1.90744444873839,0.350663901647463,0.0337447642655518,0.480026709289299,-1.03736358800686,-0.069617599588632,-0.548428616812816,0.451409062884515
"73","narts",46.73,12.2,8.55,8,0,0.251638220448212,-2.08884239126002,-2.56066730616974,-1.72932116385529,109,6,"nar",-2.61585673617377,-1.89772664762861,0.0618790944768741,0.0156864788263577,0.720067705228886,-0.925959676072007,-0.00887293354293601,-0.514781882602908,0.376222366369782
"74","niwcb",51.85,20.8,6.2,7.7,1,0.688864568054792,-1.30037904203439,-2.15490195998574,-1.8787411696112,112,14,"niw",-0.698045231900331,1.25424672835653,0.554445303221324,0.0396823836748662,-0.326488311054122,-0.480671445076276,-0.424620168060637,0.36194257700022,0.108782469154785
"75","niwdc",51.25,21.05,6.35,7.7,0.954242509439325,0.739374533250178,-1.33068311943389,-2.21944267985048,-1.90308998699194,113,14,"niw",-0.754891838163684,1.24007370820144,0.429912887510972,-0.0428802650338126,-0.310582498110535,-0.599489214360346,-0.392281148916443,0.270559200594979,0.0525476483149847
"76","niwol",51.785,21.4,5.9,7.6,1.04139268515823,0.859588576735493,-1.28713993533554,-2.23750899597399,-1.82066368613117,114,14,"niw",-0.481223383877181,1.6568091125721,0.571446610283695,-0.00649715353992384,-0.19206482111072,-0.759840401124053,-0.292912322510435,0.341996371029876,0.10352504539888
"77","niwta",11.63,20.6,6.8,7.1,1.47712125471966,0.898450919198375,-1.02204787879854,-0.869224119644043,-1.44279366023447,115,14,"niw",2.55823855002071,1.04247165687374,0.42762782698901,0.48692812411969,0.108041893620888,-0.136040844188493,-0.184348348959049,-0.139487794177824,-0.394970617355878
"78","nocec",35.4275,20.4,7.4,7.8,1,0.853089529851866,-1.30891850787703,-1.04215336629185,-1.80134291304558,118,13,"noc",0.386470145563713,0.347130581050416,0.256096038375827,-0.679098947318685,-0.536365657683289,0.0346775450451558,0.104948142790527,0.0820211236137113,-0.230369975224286
"79","noclc",50.585,20.6,7.2,8,0.698970004336019,0.391816923613249,-1.44369749923271,-2.62893213772826,-2.52287874528034,119,13,"noc",-1.93867913460693,0.45973084658208,-0.44778645217243,0.0412246145430594,-0.940505437415856,-0.334255248178048,-0.96399568699731,0.0975870752412272,0.25810914341392
"80","nocrc",48.045,20.7,7,7.9,0.778151250383644,0.544068044350276,-1.4207882197685,-2.62893213772826,-2.48148606012211,120,13,"noc",-1.57104907537062,0.742106859934527,-0.469273049260479,-0.00467672611421044,-0.818362894666755,-0.538430355923778,-0.890647391944935,0.082360843342502,0.301592034202401
"81","noczb",35.5,20.75,6.7,7.7,1.17609125905568,0.966610986681934,-1.27327279097343,-1.18508681872493,-1.58169870868025,121,13,"noc",0.698492041740663,0.957908749082202,0.593217851209363,-0.622341583700541,-0.176788790276933,-0.0563657414668691,0.104850720001036,0.105609932483507,-0.10022268894202
"82","owcbr",0.65,14.9,8.1,7.8,1,0.247973266361807,-1.52287874528034,0.381160223320141,-1.64902553407761,122,2,"owc",1.62423326030231,-1.77986892794658,-0.0434188862327324,0.0786608916716883,-0.134865204407633,1.62395578126964,0.466659099537285,-0.20531730041786,0.19579055218203
"83","owcdr",0.63,15.7,6.7,7.6,1.23044892137827,0.564073978977147,-1.44369749923271,0.283753383332527,-1.79588001734408,123,2,"owc",2.17685333293942,-0.612741811184516,-0.173218810658983,0.170585916612148,-0.13347898529982,1.2541423247396,0.659001770892441,0.111934643476794,0.671430868591533
"84","owcol",0.5,16.8,7.85,7.7,1.47712125471966,1.23942461800743,-1.1337126609158,0.0902580529313163,-2.03385826726097,124,2,"owc",2.89327580044623,-0.0806549770695062,-0.486302312185905,-1.25301084057512,-0.799826228476764,0.390137895192266,0.124671720719296,-0.0832347768641252,0.443341629880797
"85","owcsu",0.67,15.3,7.4,7.8,1.24303804868629,0.763802224074593,-1.26760624017703,0.491081413423187,-1.71219827006977,125,2,"owc",2.4169961075181,-0.835735617554802,0.0982322972194682,-0.604840511626242,-0.526701751279382,1.20597011495849,0.600575984978308,-0.105598155030361,0.548866245312983
"86","owcwm",0.48,16.7,7.8,7.7,1.47712125471966,1.19180021001471,-1.09240951178138,0.0363294163373736,-2.04817696468409,126,2,"owc",2.85812064109721,-0.0763196535300367,-0.439038874538818,-1.14615155891926,-0.866330538087496,0.409183807929321,0.0353207338537675,-0.102067547157195,0.477694702113727
"87","pdbbp",44.93,10.9,9.5,8,0.301029995663981,0.232784414320742,-1.7582045687048,-0.914352711703143,-1.29157909986529,127,27,"pdb",-0.984400493625976,-2.72554606890195,1.01216588932062,-0.460020248122433,0.315200325802138,-0.0862789273319245,0.302271703517783,0.00602515477469476,-0.275812563290456
"88","pdbby",45.395,10.25,8.7,7.9,0.301029995663981,0.280464546626918,-1.80340934588269,-0.689041307580002,-1.24317378692209,128,27,"pdb",-0.777211750502264,-2.517778698961,1.123760966292,-0.245997442352284,0.458817505400877,-0.0900433029235579,0.746234950596563,0.23801864075553,-0.0074256532337944
