"code","SpCond","Temp","DO","pH","Turb","Chla","NH4","NO23","PO4","cluster","pca_id","Map.Number","Map.Code"
"sfbfm",7.2,17.35,7,7.6,1.60205999132796,0.612783856719735,-1.13430394008393,0.0398006476831324,-0.665294993718021,"A",151,25,"sfb"
"sfbgc",34.65,16.9,7.1,7.7,1.5910646070265,0.716003343634799,-1.14056146454494,-0.849550590539119,-0.917573699139228,"D",152,25,"sfb"
"sfbsm",7.2,17.2,7.5,7.5,1.54406804435028,0.571126277084312,-1.27449673114068,-0.315536159512457,-1.13883911155317,"A",153,25,"sfb"
"sosch",47.115,12,8.8,8,0.477121254719662,0.331427296520743,-1.50399340111996,-0.912366447256714,-1.49643628035635,"C",155,26,"sos"
"sosva",44.25,12.6,8.6,7.9,0.602059991327962,0.419129307741976,-1.46877662546697,-0.918172808741624,-1.58225159797441,"C",159,26,"sos"
"soswi",24.2425,12.45,8.55,7.3,0.845098040014257,0.0307346169761671,-1.59745204908761,-0.678539659991115,-2.08398495445045,"C",160,26,"sos"
"tjrbr",50.74,17.3,6.8,8,0.477121254719662,0.0307346169761671,-0.98401189461587,-1.68193666503724,-1.00524305541237,"D",161,23,"tjr"
"tjrmm",53.8,18.05,5.4,7.7,1,0.122215878272827,-0.777283528852417,-1.61528825706172,-1.17392519729917,"D",163,23,"tjr"
"tjros",50.82,18.8,5.2,7.7,0.698970004336019,0.239299479126893,-0.9434762759209,-1.60205999132796,-0.791827473332878,"D",164,23,"tjr"
"tjrpe",69.9225,21.3,6.95,8.3,0.653212513775344,1.27276958655176,-1.96523789374079,-2,-1.65757731917779,"B",165,23,"tjr"
"tjrpr",53.68,21.1,6.25,8,0.954242509439325,0.368286884902131,-1.58004425151024,-2.01211039000225,-1.52287874528034,"D",166,23,"tjr"
"tjrsb",53.54,21,6.5,8,0.845098040014257,0.32735893438633,-1.65462626944091,-1.97984596836167,-1.39433588440321,"D",169,23,"tjr"
"tjrtl",48.0425,20.15,4.15,7.6,0.903089986991944,0.389166084364532,-0.911863911299449,-1.02802872360024,-0.702239488900866,"D",170,23,"tjr"
"welht",0.2,12.4,10.5,6.8,0.301029995663981,-0.698970004336019,-2.55284196865778,-0.953699980347031,-3.09691001300806,"C",172,3,"wel"
"welin",48.08,9.3,9.2,7.9,0.477121254719662,-0.0457574905606751,-1.56863623584101,-1.46852108295774,-1.90308998699194,"C",173,3,"wel"
"wellm",33.24,12.7,8.95,7.8,0.477121254719662,-0.154901959985743,-1.74472749489669,-1.18045606445813,-2.52287874528034,"C",174,3,"wel"
"welsm",5.75,13.5,9.2,7.2,0.602059991327962,-0.397940008672038,-2.55284196865778,-0.976541762356325,-3.04575749056068,"C",176,3,"wel"
"wkbfr",11.97,23.95,7.05,7.2,1.07918124604762,1.26007138798507,-1.30980391997149,-0.309803919971486,-3,"A",178,20,"wkb"
"wkbmb",15.99,24.3,7.8,7.9,1.17609125905568,1.48403870952936,-1.65104645201884,-0.845677485706489,-3,"B",179,20,"wkb"
"wkbmr",15.495,24.9,7.3,7.7,1.23044892137827,1.45504799120113,-1.46428403001449,-0.467882883751196,-3,"A",180,20,"wkb"
"wkbwb",18.13,24.1,7.75,7.9,1.17609125905568,1.47571960195604,-1.56863623584101,-1.15283879942197,-3,"B",181,20,"wkb"
"wqbcr",43.355,16.6,7.8,7.8,0.301029995663981,1.1469028699282,-1.65757731917779,-1.08751223866768,-2.04215336629185,"C",184,5,"wqb"
"wqbmh",47.86,12.9,8.8,8,0.301029995663981,0.380211241711606,-1.8569851997459,-2.12349349573412,-1.82390874094432,"C",186,5,"wqb"
"wqbmp",46.315,16.6,8.4,8,0,0.457881896733992,-1.85542579239038,-2.32790214206428,-2.06298389253519,"C",187,5,"wqb"
"wqbsl",45.32,17.8,7.8,7.9,0,0.414973347970818,-1.80966830182971,-2.52287874528034,-2.22184874961636,"C",190,5,"wqb"
